"","x"
"936",387200
"937",247400
"938",265000
"939",487400
"940",249300
"941",294100
"942",206600
"943",265300
"944",406900
"945",469600
"946",368600
"947",382000
"948",748700
"949",364100
"950",492500
"951",246200
"952",185200
"953",333600
"954",636600
"955",303000
"956",260600
"957",1202100
"958",530800
"959",402500
"960",1254700
"961",231400
"962",958100
"963",450600
"964",630500
"965",224900
"966",322200
"967",427500
"968",486100
"969",622000
"970",369900
"971",329700
"972",370400
"973",415300
"974",407700
"975",422900
"976",209000
"977",202300
"978",1387500
"979",197200
"980",271000
"981",370800
"982",342200
"983",286400
"984",185900
"985",433100
"986",405700
"987",343700
"988",252600
"989",424400
"990",374500
"991",254300
"992",170300
"993",971900
"994",854400
"995",292900
"996",246100
"997",538200
"998",398600
"999",283300
"1000",541100
"1001",371000
"1002",273700
"1003",358600
"1004",430600
"1005",459700
"1006",645800
"1007",432400
"1008",214000
"1009",269400
"1010",418500
"1011",396500
"1012",246000
"1013",413500
"1014",295400
"1015",370200
"1016",343300
"1017",719800
"1018",249400
"1019",326300
"1020",336800
"1021",224200
"1022",330800
"1023",654100
"1024",515600
"1025",221100
"1026",225000
"1027",511800
"1028",462100
"1029",302400
"1030",362600
"1031",271900
"1032",388500
"1033",668000
"1034",442800
"1035",375300
"1036",393700
"1037",262400
"1038",187900
"1039",276600
"1040",268700
"1041",460500
"1042",218500
"1043",225900
"1044",284200
"1045",204500
"1046",690300
"1047",462300
"1048",288900
"1049",476200
"1050",248100
"1051",328800
"1052",266500
"1053",456900
"1054",323700
"1055",330800
"1056",279900
"1057",289800
"1058",428700
"1059",209900
"1060",340400
"1061",323200
"1062",365700
"1063",340200
"1064",344000
"1065",385500
"1066",529900
"1067",331000
"1068",373500
"1069",242200
"1070",396000
"1071",279500
"1072",451100
"1073",362900
"1074",270700
"1075",453900
"1076",341000
"1077",809200
"1078",168400
"1079",212900
"1080",237800
"1081",293500
"1082",275900
"1083",302300
"1084",292900
"1085",199300
"1086",214300
"1087",261300
"1088",251500
"1089",315300
"1090",264300
"1091",538700
"1092",326800
"1093",391100
"1094",208900
"1095",245700
"1096",297800
"1097",395800
"1098",668600
"1099",322100
"1100",746500
"1101",336800
"1102",331800
"1103",330800
"1104",409900
"1105",189400
"1106",534600
"1107",259100
"1108",394300
"1109",284900
"1110",352100
"1111",278500
"1112",198600
"1113",378400
"1114",387700
"1115",491300
"1116",290900
"1117",407500
"1118",328200
"1119",513400
"1120",343700
"1121",400000
"1122",247400
"1123",230600
"1124",216500
"1125",290700
"1126",325800
"1127",229500
"1128",601100
"1129",215400
"1130",374000
"1131",284200
"1132",306000
"1133",316500
"1134",227800
"1135",194700
"1136",349500
"1137",331500
"1138",2521800
"1139",306200
"1140",266800
"1141",435300
"1142",393300
"1143",3672600
"1144",428600
"1145",300100
"1146",392600
"1147",237200
"1148",294400
"1149",313200
"1150",207100
"1151",512400
"1152",627000
"1153",286700
"1154",376800
"1155",567300
"1156",243400
"1157",143300
"1158",342100
"1159",297800
"1160",369300
"1161",320300
"1162",440700
"1163",489800
"1164",1009100
"1165",455800
"1166",241500
"1167",373800
"1168",660200
"1169",267100
"1170",259600
"1171",215400
"1172",235100
"1173",402100
"1174",687000
"1175",217600
"1176",382000
"1177",268300
"1178",390700
"1179",351100
"1180",217100
"1181",517400
"1182",581300
"1183",260200
"1184",336800
"1185",208400
"1186",512900
"1187",452600
"1188",285700
"1189",279900
"1190",335000
"1191",288300
"1192",320800
"1193",279600
"1194",309700
"1195",275700
"1196",485100
"1197",397500
"1198",224600
"1199",294300
"1200",379500
"1201",316500
"1202",294100
"1203",618800
"1204",387400
"1205",291400
"1206",320800
"1207",297800
