price,number,Streetname,streetType,city,province,neighbourhood
619900,1750,Unity,road, Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners
384900,1379,Tremont,drive, Kingston,ON,Cataraqui Westbrook
479000,1936,Battersea,road, Glenburnie,ON,Glenburnie
499900,1158,Halifax,drive, Kingston,ON,Cataraqui North
2500000,725,Arlington Park,place, Kingston,ON,Gardiners / Meadowbrook
519900,26,Paulinetom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
558900,28,Paulinetom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
319900,811,Aylmer,crescent,Kingston,ON,Mile Square
475000,692,Brock,street,Kingston,ON,Sunnyside
424900,43,Place,D'ARMES,Kingston,ON,Inner Harbour
799900,307,Frontenac,street,Kingston,ON,Queen's
399900,231,Phillips,street,Kingston,ON,Hillendale
399900,2964,Princess,street,Kingston,ON,Cataraqui Westbrook
294900,22,Concession,street,Kingston,ON,Williamsville
199900,107,Greenview,drive,Kingston,ON,Fairway Hills
529900,953,Mona,drive,Kingston,ON,Westwoods
524900,865,Mona,drive,Kingston,ON,Westwoods
439000,1417,Montreal,street,Kingston,ON,Marker's Acres
699900,693,Fieldstone,drive,Kingston,ON,Greenwood Park / St. Lawrence South
569900,1309,Grace,avenue,Kingston,ON,Cataraqui Westbrook
229900,943,Amberdale,crescent,Kingston,ON,Bayridge East
459900,1358,Stoneridge,drive,Kingston,ON,Auden Park
559900,900,Lotus,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
399900,133,Indian,road,Kingston,ON,Strathcona Park
349900,433,Cooke,crescent,Kingston,ON,Cataraqui North
229900,2721,Sandhill,road,Kingston,ON,Joyceville / Brewer's Mills
309900,41,Sunnyacres,road,Kingston,ON,Reddendale
259900,70,Abbeydale,CRT,Kingston,ON,Rideau Heights
349900,379,Oldquarry,road,Kingston,ON,Strathcona Park
629900,653,Kingst,W,Kingston,ON,Portsmouth
309900,604,Barnsley,Crescent,Kingston,ON,Lemoine Point
309900,284,Owens,Crescent,Kingston,ON,Gardiners / Meadowbrook
549900,463,Earl,street,Kingston,ON,Sunnyside
550000,635,Arlingtonpark,place,Kingston,ON,Gardiners / Meadowbrook
249900,2702,Hwy,2,Kingston,ON,Neighbourhood Unknown
674900,1341,Butternutcreek,road,Kingston,ON,Greenwood Park / St. Lawrence South
1450000,452,Kingstonmills,road,Kingston,ON,Neighbourhood Unknown
273000,407,Mowat,avenue,Kingston,ON,Portsmouth
449900,137,Paulinetom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
2500,1301,Frank,street,Kingston,ON,Cataraqui Westbrook
575000,226,Paulinetom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
309900,4295,Hwy,2,Kingston,ON,Neighbourhood Unknown
749000,1292,Hwy,15,Kingston,ON,Greenwood Park / St. Lawrence South
669000,246,Paulinetom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
514900,102,Kingst,W,Kingston,ON,Queen's
339000,405,Barrett,CRT,Kingston,ON,Cataraqui River East
424900,1636,Brookedayle,Avenue,Kingston,ON,Sydenham
424900,1648,Brookedayle,Avenue,Kingston,ON,Sydenham
364900,1655,Brookedayle,Avenue,Kingston,ON,Gardiners / Meadowbrook
434800,202,Terraverde,way,Kingston,ON,Sydenham
434800,1015,Terraverde,way,Kingston,ON,Sydenham
479800,201,Terraverde,way,Kingston,ON,Sydenham
