type,lat,long
PicnicFacility, 44.294951947130755,-76.31277780245864
BasketballCourt, 44.241363218881055,-76.61189661833448
CommunityGarden, 44.26342072681298,-76.48769947290283
BasketballCourt, 44.319757208458554,-76.54027616946212
BasketballCourt, 44.24877179858536,-76.59298806714538
SoccerField, 44.2734931419458,-76.43344822915321
GolfCourse, 44.24568019987061,-76.44874254132132
ShoppingCentre, 44.236049955459045,-76.5670772813829
BallDiamond, 44.23573991287656,-76.59755461047179
ParkingLot, 44.232001956615406,-76.49048681704055
RMC, 44.2339485323911,-76.46938190253294
RecreationFacility, 44.24335783046261,-76.48714203050865
Playground, 44.23127386624602,-76.51944765611876
TennisCourt, 44.24934831494883,-76.52368351663876
Playground, 44.30629524233857,-76.4625820883689
Quarry-Abandoned, 44.4063923383973,-76.28119366824036
PicnicFacility, 44.25362894894549,-76.5909636192913
PicnicFacility, 44.23310697223582,-76.49830939198192
